,Symbol,Name,MarketCap,mcap
0,DDD,3D Systems Corporation,$813.13M,813130000
1,MMM,3M Company,$90.77B,90770000000
2,WBAI,500.com Limited,$165.98M,165980000
3,WUBA,58.com Inc.,$8.27B,8270000000
4,EGHT,8x8 Inc,$1.73B,1730000000
5,AHC,A.H. Belo Corporation,$39.18M,39180000
6,AOS,A.O Smith Corporation,$8.23B,8230000000
7,ATEN,"A10 Networks, Inc.",$577.44M,577440000
8,AIR,AAR Corp.,$672.88M,672880000
9,AAN,"Aaron&#39;s,  Inc.",$2.95B,2950000000
10,ABB,ABB Ltd,$53.02B,53020000000
11,ABT,Abbott Laboratories,$173.68B,173680000000
12,ABBV,AbbVie Inc.,$171.65B,171650000000
13,ANF,Abercrombie & Fitch Company,$615.03M,615030000
14,AGD,Aberdeen Global Dynamic Dividend Fund,$115.33M,115330000
15,AWP,Aberdeen Global Premier Properties Fund,$398M,398000000
16,ACP,Aberdeen Income Credit Strategies Fund,$171.53M,171530000
17,JEQ,"Aberdeen Japan Equity Fund, Inc. ",$103.51M,103510000
18,AOD,Aberdeen Total Dynamic Dividend Fund,$838.18M,838180000
19,ABM,ABM Industries Incorporated,$2.39B,2390000000
20,AKR,Acadia Realty Trust,$1.03B,1030000000
21,ACEL,"Accel Entertainment, Inc.",$711.68M,711680000
22,ACN,Accenture plc,$141.84B,141840000000
23,ACCO,Acco Brands Corporation,$627.23M,627230000
24,ATV,"Acorn International, Inc.",$45.19M,45190000
25,AYI,"Acuity Brands, Inc. ",$3.99B,3990000000
26,GOLF,Acushnet Holdings Corp.,$2.77B,2770000000
27,ADX,"Adams Diversified Equity Fund, Inc.",$1.71B,1710000000
28,PEO,"Adams Natural Resources Fund, Inc.",$355.25M,355250000
29,ADCT,ADC Therapeutics SA,$3.42B,3420000000
30,AGRO,Adecoagro S.A.,$522.07M,522070000
31,ADNT,Adient plc,$1.66B,1660000000
32,ADT,ADT Inc.,$6.18B,6180000000
33,ATGE,Adtalem Global Education Inc.,$1.88B,1880000000
34,AAP,Advance Auto Parts Inc,$10.18B,10180000000
35,ADSW,"Advanced Disposal Services, Inc.",$2.72B,2720000000
36,WMS,"Advanced Drainage Systems, Inc.",$3.42B,3420000000
37,ASIX,AdvanSix Inc.,$329.33M,329330000
38,AVK,Advent Convertible and Income Fund,$475.07M,475070000
39,ACM,AECOM,$5.95B,5950000000
40,AEG,Aegon NV,$6.45B,6450000000
41,AER,Aercap Holdings N.V.,$3.82B,3820000000
42,AJRD,"Aerojet Rocketdyne Holdings, Inc. ",$2.94B,2940000000
43,AMG,"Affiliated Managers Group, Inc.",$3.46B,3460000000
44,AFL,Aflac Incorporated,$26.2B,26200000000
45,MITT,"AG Mortgage Investment Trust, Inc.",$105.36M,105360000
46,AGCO,AGCO Corporation,$4.64B,4640000000
47,A,"Agilent Technologies, Inc.",$29.65B,29650000000
48,AEM,Agnico Eagle Mines Limited,$16.56B,16560000000
49,ADC,Agree Realty Corporation,$3.44B,3440000000
50,AL,Air Lease Corporation,$3.12B,3120000000
51,APD,"Air Products and Chemicals, Inc.",$64.13B,64130000000
52,ALG,"Alamo Group, Inc.",$1.21B,1210000000
53,AGI,Alamos Gold Inc.,$4.36B,4360000000
54,ALK,"Alaska Air Group, Inc.",$4.44B,4440000000
55,AIN,Albany International Corporation,$1.68B,1680000000
56,ALB,Albemarle Corporation,$9.27B,9270000000
57,ACI,"Albertsons Companies, Inc.",$7.51B,7510000000
58,AA,Alcoa Corporation,$2.45B,2450000000
59,ALC,Alcon Inc.,$29.62B,29620000000
60,ALEX,"Alexander & Baldwin, Inc.",$895.88M,895880000
61,ALX,"Alexander&#39;s, Inc.",$1.24B,1240000000
62,ARE,"Alexandria Real Estate Equities, Inc.",$20.9B,20900000000
63,AQN,Algonquin Power & Utilities Corp.,$7.05B,7050000000
64,BABA,Alibaba Group Holding Limited,$697.53B,697530000000
65,Y,Alleghany Corporation,$7.41B,7410000000
66,ATI,Allegheny Technologies Incorporated,$1.22B,1220000000
67,ALLE,Allegion plc,$10.13B,10130000000
68,ALE,"Allete, Inc.",$3.05B,3050000000
69,ADS,Alliance Data Systems Corporation,$2.01B,2010000000
70,AFB,Alliance National Municipal Income Fund Inc,$393.81M,393810000
71,AWF,Alliance World Dollar Government Fund II,$891.61M,891610000
72,AB,AllianceBernstein Holding L.P.,$2.82B,2820000000
73,AIO,AllianzGI Artificial Intelligence & Tech Opp Fd,$700.19M,700190000
74,CBH,AllianzGI Convertible & Income 2024 Target Term Fund,$165.77M,165770000
75,NCV,AllianzGI Convertible & Income Fund,$404.87M,404870000
76,NCZ,AllianzGI Convertible & Income Fund II,$303.7M,303700000
77,ACV,AllianzGI Diversified Income & Convertible Fund,$259.57M,259570000
78,NFJ,"AllianzGI Dividend, Interest & Premium Strategy Fu",$1.12B,1120000000
79,NIE,AllianzGI Equity & Convertible Income Fund,$665.85M,665850000
80,ALSN,"Allison Transmission Holdings, Inc.",$4.22B,4220000000
81,ALL,Allstate Corporation (The),$28.85B,28850000000
82,ALLY,Ally Financial Inc.,$7.96B,7960000000
83,PINE,"Alpine Income Property Trust, Inc.",$106.34M,106340000
84,ALTG,Alta Equipment Group Inc.,$226.06M,226060000
85,AYX,"Alteryx, Inc.",$11.12B,11120000000
86,ATUS,"Altice USA, Inc.",$14.54B,14540000000
87,MO,Altria Group,$76.6B,76600000000
88,ACH,Aluminum Corporation of China Limited,$4.48B,4480000000
89,ALUS,Alussa Energy Acquisition Corp.,$362.25M,362250000
90,AMBC,"Ambac Financial Group, Inc.",$612.07M,612070000
91,ABEV,Ambev S.A.,$45B,45000000000
92,AMC,"AMC Entertainment Holdings, Inc.",$432.93M,432930000
93,AMCR,Amcor plc,$17.08B,17080000000
94,AEE,Ameren Corporation,$19.26B,19260000000
95,AMRC,"Ameresco, Inc.",$1.42B,1420000000
96,AMOV,"America Movil, S.A.B. de C.V.",$58.24B,58240000000
97,AMX,"America Movil, S.A.B. de C.V.",$58.76B,58760000000
98,AAT,"American Assets Trust, Inc.",$1.54B,1540000000
99,AXL,"American Axle & Manufacturing Holdings, Inc.",$836.84M,836840000
100,ACC,American Campus Communities Inc,$4.6B,4600000000
101,AEO,"American Eagle Outfitters, Inc.",$1.71B,1710000000
102,AEP,"American Electric Power Company, Inc.",$43.39B,43390000000
103,AEL,American Equity Investment Life Holding Company,$2.4B,2400000000
104,AXP,American Express Company,$77.54B,77540000000
105,AFG,"American Financial Group, Inc.",$5.56B,5560000000
106,AFGC,"American Financial Group, Inc.",$26.04M,26040000
107,AMH,American Homes 4 Rent,$8.28B,8280000000
108,AIG,"American International Group, Inc.",$27.53B,27530000000
109,ARL,"American Realty Investors, Inc.",$163.01M,163010000
110,ARA,"American Renal Associates Holdings, Inc",$227.07M,227070000
111,AWR,American States Water Company,$2.98B,2980000000
112,AMT,American Tower Corporation (REIT),$114.91B,114910000000
113,AVD,American Vanguard Corporation,$410.83M,410830000
114,AWK,American Water Works,$25.56B,25560000000
115,COLD,Americold Realty Trust,$7.58B,7580000000
116,AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",$19.25B,19250000000
117,ABC,AmerisourceBergen Corporation (Holding Co),$21.18B,21180000000
118,RYCE,Amira Nature Foods Ltd,$13.19M,13190000
119,AMN,AMN Healthcare Services Inc,$2.47B,2470000000
120,AMRX,"Amneal Pharmaceuticals, Inc.",$1.36B,1360000000
121,AP,Ampco-Pittsburgh Corporation,$37.74M,37740000
122,APH,Amphenol Corporation,$30.21B,30210000000
123,AXR,AMREP Corporation,$37.23M,37230000
124,HKIB,AMTD International Inc.,$1.62B,1620000000
125,AME,"AMTEK, Inc.",$21.12B,21120000000
126,PLAN,"Anaplan, Inc.",$6.24B,6240000000
127,FINS,Angel Oak Financial Strategies Income Term Trust,$187.43M,187430000
128,AU,AngloGold Ashanti Limited,$13.4B,13400000000
129,BUD,Anheuser-Busch Inbev SA,$108.65B,108650000000
130,NLY,Annaly Capital Management Inc,$10.27B,10270000000
131,AM,Antero Midstream Corporation,$2.92B,2920000000
132,AR,Antero Resources Corporation,$748.81M,748810000
133,ANTM,"Anthem, Inc.",$66.99B,66990000000
134,ANH,Anworth Mortgage Asset  Corporation,$180.07M,180070000
135,AON,Aon plc,$47.75B,47750000000
136,AIV,Apartment Investment and Management Company,$5.35B,5350000000
137,APG,APi Group Corporation,$2.3B,2300000000
138,ARI,Apollo Commercial Real Estate Finance,$1.44B,1440000000
139,APO,"Apollo Global Management, Inc",$12.23B,12230000000
140,AFT,Apollo Senior Floating Rate Fund Inc.,$193.11M,193110000
141,AIF,Apollo Tactical Income Fund Inc.,$178.92M,178920000
142,APLE,"Apple Hospitality REIT, Inc.",$2.01B,2010000000
143,AIT,"Applied Industrial Technologies, Inc.",$2.49B,2490000000
144,ATR,"AptarGroup, Inc.",$7.59B,7590000000
145,APTV,Aptiv PLC,$22.11B,22110000000
146,ARMK,Aramark,$5.8B,5800000000
147,ABR,Arbor Realty Trust,$953.67M,953670000
148,ARC,"ARC Document Solutions, Inc.",$49.55M,49550000
149,MT,ArcelorMittal,$12.61B,12610000000
150,ARCH,"Arch Resources, Inc.",$438.99M,438990000
151,ADM,Archer-Daniels-Midland Company,$22.7B,22700000000
